"Veteran Suicides by State of Death, 2001-2021",,,
"Year
of
Death","Geographic
Region",State of Death,"Veteran
Suicides"
2018,Midwestern,South Dakota,25
2018,Midwestern,Wisconsin,118
2018,Southern,Alabama,145
2018,Southern,Arkansas,80
2018,Southern,Delaware,17
2018,Southern,District of Columbia,<10
2018,Southern,Florida,600
2018,Southern,Georgia,217
2018,Southern,Kentucky,121
2018,Southern,Louisiana,100
2018,Southern,Maryland,93
2018,Southern,Mississippi,65
2018,Southern,North Carolina,213
2018,Southern,Oklahoma,128
2018,Southern,South Carolina,119
2018,Southern,Tennessee,188
2018,Southern,Texas,527
2018,Southern,Virginia,181
2018,Southern,West Virginia,65
2018,Western,Alaska,19
2018,Western,Arizona,233
2018,Western,California,554
2018,Western,Colorado,180
2018,Western,Hawaii,19
2018,Western,Idaho,55
2018,Western,Montana,57
2018,Western,Nevada,97
2018,Western,New Mexico,75
2018,Western,Oregon,151
2018,Western,Utah,54
2018,Western,Washington,186
2018,Western,Wyoming,18
2018,All,U.S. Total,"6,718"
2019,Northeastern,Connecticut,48
2019,Northeastern,Maine,36
2019,Northeastern,Massachusetts,70
2019,Northeastern,New Hampshire,38
2019,Northeastern,New Jersey,64
2019,Northeastern,New York,159
2019,Northeastern,Pennsylvania,288
2019,Northeastern,Rhode Island,<10
2019,Northeastern,Vermont,18
2019,Midwestern,Illinois,178
2019,Midwestern,Indiana,129
2019,Midwestern,Iowa,74
2019,Midwestern,Kansas,72
2019,Midwestern,Michigan,189
2019,Midwestern,Minnesota,91
2019,Midwestern,Missouri,192
2019,Midwestern,Nebraska,50
2019,Midwestern,North Dakota,14
2019,Midwestern,Ohio,268
2019,Midwestern,South Dakota,25
2019,Midwestern,Wisconsin,100
2019,Southern,Alabama,113
2019,Southern,Arkansas,89
2019,Southern,Delaware,11
2019,Southern,District of Columbia,<10
2019,Southern,Florida,569
2019,Southern,Georgia,214
2019,Southern,Kentucky,100
2019,Southern,Louisiana,89
2019,Southern,Maryland,68
2019,Southern,Mississippi,65
2019,Southern,North Carolina,185
2019,Southern,Oklahoma,114
2019,Southern,South Carolina,129
2019,Southern,Tennessee,190
2019,Southern,Texas,521
2019,Southern,Virginia,191
2019,Southern,West Virginia,50
2019,Western,Alaska,25
2019,Western,Arizona,238
2019,Western,California,489
2019,Western,Colorado,173
2019,Western,Hawaii,17
2019,Western,Idaho,53
2019,Western,Montana,53
2019,Western,Nevada,115
2019,Western,New Mexico,71
2019,Western,Oregon,142
2019,Western,Utah,57
2019,Western,Washington,199
2019,Western,Wyoming,35
2019,All,U.S. Total,"6,481"
2020,Northeastern,Connecticut,41
2020,Northeastern,Maine,39
2020,Northeastern,Massachusetts,65
2020,Northeastern,New Hampshire,36
2020,Northeastern,New Jersey,62
2020,Northeastern,New York,147
2020,Northeastern,Pennsylvania,245
2020,Northeastern,Rhode Island,14
2020,Northeastern,Vermont,12
2020,Midwestern,Illinois,154
2020,Midwestern,Indiana,154
2020,Midwestern,Iowa,70
2020,Midwestern,Kansas,58
2020,Midwestern,Michigan,189
2020,Midwestern,Minnesota,91
2020,Midwestern,Missouri,170
2020,Midwestern,Nebraska,50
2020,Midwestern,North Dakota,24
2020,Midwestern,Ohio,238
2020,Midwestern,South Dakota,27
2020,Midwestern,Wisconsin,140
2020,Southern,Alabama,130
2020,Southern,Arkansas,90
2020,Southern,Delaware,22
2020,Southern,District of Columbia,<10
2020,Southern,Florida,505
2020,Southern,Georgia,187
2020,Southern,Kentucky,120
2020,Southern,Louisiana,87
2020,Southern,Maryland,81
2020,Southern,Mississippi,57
2020,Southern,North Carolina,204
2020,Southern,Oklahoma,111
2020,Southern,South Carolina,119
2020,Southern,Tennessee,184
2020,Southern,Texas,528
2020,Southern,Virginia,186
2020,Southern,West Virginia,66
2020,Western,Alaska,32
2020,Western,Arizona,205
2020,Western,California,452
2020,Western,Colorado,156
2020,Western,Hawaii,24
2020,Western,Idaho,58
2020,Western,Montana,53
2020,Western,Nevada,106
2020,Western,New Mexico,61
2020,Western,Oregon,132
2020,Western,Utah,67
2020,Western,Washington,184
2020,Western,Wyoming,38
2020,All,U.S. Total,"6,278"
2021,Northeastern,Connecticut,34
2021,Northeastern,Maine,38
2021,Northeastern,Massachusetts,57
2021,Northeastern,New Hampshire,29
2021,Northeastern,New Jersey,53
2021,Northeastern,New York,139
2021,Northeastern,Pennsylvania,246
2021,Northeastern,Rhode Island,11
2021,Northeastern,Vermont,18
2021,Midwestern,Illinois,155
2021,Midwestern,Indiana,139
2021,Midwestern,Iowa,68
2021,Midwestern,Kansas,66
2021,Midwestern,Michigan,171
2021,Midwestern,Minnesota,91
2021,Midwestern,Missouri,185
2021,Midwestern,Nebraska,43
2021,Midwestern,North Dakota,14
2021,Midwestern,Ohio,242
2021,Midwestern,South Dakota,32
2021,Midwestern,Wisconsin,109
2021,Southern,Alabama,125
2021,Southern,Arkansas,82
2021,Southern,Delaware,23
2021,Southern,District of Columbia,<10
2021,Southern,Florida,546
2021,Southern,Georgia,226
2021,Southern,Kentucky,98
2021,Southern,Louisiana,79
2021,Southern,Maryland,89
2021,Southern,Mississippi,63
2021,Southern,North Carolina,203
2021,Southern,Oklahoma,131
2021,Southern,South Carolina,122
2021,Southern,Tennessee,177
2021,Southern,Texas,583
2021,Southern,Virginia,193
2021,Southern,West Virginia,54
2021,Western,Alaska,26
2021,Western,Arizona,241
2021,Western,California,461
2021,Western,Colorado,212
2021,Western,Hawaii,20
2021,Western,Idaho,54
2021,Western,Montana,44
2021,Western,Nevada,111
2021,Western,New Mexico,69
2021,Western,Oregon,139
2021,Western,Utah,62
2021,Western,Washington,183
2021,Western,Wyoming,32
2021,All,U.S. Total,"6,392"
