"Veteran Suicides by State of Death, 2001-2021",,,
"Year
of
Death","Geographic
Region",State of Death,"Veteran
Suicides"
2005,Midwestern,Wisconsin,125
2005,Southern,Alabama,119
2005,Southern,Arkansas,76
2005,Southern,Delaware,18
2005,Southern,District of Columbia,<10
2005,Southern,Florida,490
2005,Southern,Georgia,184
2005,Southern,Kentucky,116
2005,Southern,Louisiana,67
2005,Southern,Maryland,95
2005,Southern,Mississippi,62
2005,Southern,North Carolina,203
2005,Southern,Oklahoma,103
2005,Southern,South Carolina,80
2005,Southern,Tennessee,165
2005,Southern,Texas,420
2005,Southern,Virginia,192
2005,Southern,West Virginia,58
2005,Western,Alaska,22
2005,Western,Arizona,186
2005,Western,California,467
2005,Western,Colorado,163
2005,Western,Hawaii,15
2005,Western,Idaho,52
2005,Western,Montana,52
2005,Western,Nevada,110
2005,Western,New Mexico,65
2005,Western,Oregon,118
2005,Western,Utah,38
2005,Western,Washington,174
2005,Western,Wyoming,23
2005,All,U.S. Total,"6,126"
2006,Northeastern,Connecticut,44
2006,Northeastern,Maine,41
2006,Northeastern,Massachusetts,52
2006,Northeastern,New Hampshire,33
2006,Northeastern,New Jersey,67
2006,Northeastern,New York,180
2006,Northeastern,Pennsylvania,263
2006,Northeastern,Rhode Island,21
2006,Northeastern,Vermont,16
2006,Midwestern,Illinois,158
2006,Midwestern,Indiana,148
2006,Midwestern,Iowa,63
2006,Midwestern,Kansas,76
2006,Midwestern,Michigan,238
2006,Midwestern,Minnesota,98
2006,Midwestern,Missouri,165
2006,Midwestern,Nebraska,39
2006,Midwestern,North Dakota,17
2006,Midwestern,Ohio,241
2006,Midwestern,South Dakota,24
2006,Midwestern,Wisconsin,127
2006,Southern,Alabama,120
2006,Southern,Arkansas,80
2006,Southern,Delaware,16
2006,Southern,District of Columbia,<10
2006,Southern,Florida,501
2006,Southern,Georgia,166
2006,Southern,Kentucky,121
2006,Southern,Louisiana,68
2006,Southern,Maryland,86
2006,Southern,Mississippi,67
2006,Southern,North Carolina,205
2006,Southern,Oklahoma,95
2006,Southern,South Carolina,96
2006,Southern,Tennessee,171
2006,Southern,Texas,400
2006,Southern,Virginia,164
